xflr5 v6.57

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =   10.000000 m/s
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.490938
Cy    =   -0.000000
Cd    =    0.007743     ICd   =    0.007743     PCd   =    0.000000
Cl   = -8.39964e-15
Cm   =   -0.866375
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    7.442152     YCP   =    0.000000     ZCP   =    0.472677  
XNP   =    0.000000
Bending = 15559.971770

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  -18.3689     1.2203   -45.835    0.071272    0.000000    0.073384   -2.676408   -0.036409     0.0000    0.0000    0.4014    0.0000
  -18.3643     1.2215   -10.461    0.106248    0.000000    0.019619   -2.554344   -0.042091     0.0000    0.0000    0.4323    0.0001
  -18.3553     1.2239    -7.499    0.147306    0.000000    0.019392   -2.353546   -0.040353     0.0000    0.0000    0.4381    0.0007
  -18.3417     1.2276    -6.197    0.187531    0.000000    0.020363   -2.425172   -0.042694     0.0000    0.0000    0.4413    0.0033
  -18.3236     1.2324    -5.425    0.226191    0.000000    0.021481   -2.607598   -0.046664     0.0000    0.0000    0.4425    0.0111
  -18.3009     1.2384    -4.910    0.263047    0.000000    0.022597   -2.841564   -0.051706     0.0000    0.0000    0.4440    0.0288
  -18.2738     1.2457    -4.509    0.297887    0.000000    0.023491   -3.104182   -0.057510     0.0000    0.0000    0.4459    0.0639
  -18.2421     1.2541    -4.169    0.330568    0.000000    0.024097   -3.376948   -0.063716     0.0000    0.0000    0.4478    0.1266
  -18.2059     1.2638    -3.868    0.361003    0.000000    0.024409   -3.642229   -0.069967     0.0000    0.0000    0.4496    0.2302
  -18.1653     1.2746    -3.594    0.389151    0.000000    0.024444   -3.888559   -0.076022     0.0000    0.0000    0.4512    0.3915
  -18.1201     1.2866    -3.340    0.415005    0.000000    0.024223   -4.109737   -0.081743     0.0000    0.0000    0.4525    0.6310
  -18.0705     1.2999    -3.103    0.438594    0.000000    0.023779   -4.302765   -0.087059     0.0000    0.0000    0.4536    0.9732
  -18.0165     1.3143    -2.880    0.459975    0.000000    0.023145   -4.466353   -0.091927     0.0000    0.0000    0.4545    1.4466
